accx,accy,accz
1.0072,0.0273,0.0778
1.0136,0.0258,0.0768
1.0131,0.0239,0.0753
1.0107,0.0229,0.0734
1.017,0.0209,0.0758
1.016,0.0244,0.0807
1.0165,0.0268,0.0768
1.0165,0.0234,0.0768
1.0146,0.0209,0.0787
1.019,0.0234,0.0792
1.0155,0.0209,0.0778
1.0146,0.0195,0.0787
1.0185,0.0224,0.0714
1.0141,0.0244,0.0753
1.0165,0.0214,0.0773
1.0165,0.0244,0.0802
1.017,0.0224,0.0792
1.0195,0.0204,0.0812
1.018,0.0244,0.0787
1.0136,0.0224,0.0773
1.016,0.0229,0.0792
1.019,0.0248,0.0734
1.0165,0.0185,0.0729
1.019,0.0195,0.0739
1.0165,0.0248,0.0787
1.019,0.0229,0.0773
1.0146,0.0219,0.0792
1.0185,0.0234,0.0758
1.0116,0.0229,0.0763
1.0112,0.02,0.0743
1.016,0.0204,0.0787
1.0146,0.0214,0.0768
1.0151,0.02,0.0778
1.0175,0.019,0.0797
1.0136,0.0229,0.0778
1.0136,0.0219,0.0773
1.0131,0.019,0.0802
1.0136,0.0209,0.0797
1.017,0.0214,0.0792
1.0165,0.0204,0.0792
1.0107,0.0195,0.0827
1.0146,0.0244,0.0822
1.019,0.0224,0.0812
1.017,0.0244,0.0851
1.0155,0.0229,0.0851
1.018,0.0239,0.0807
1.016,0.0214,0.0812
1.0165,0.0253,0.0836
1.0185,0.0209,0.0851
1.0165,0.0229,0.0861
1.0229,0.0239,0.0841
1.0146,0.0244,0.0866
1.0151,0.0244,0.0875
1.0146,0.0244,0.0851
1.0141,0.0234,0.0836
1.0155,0.0229,0.0846
1.0116,0.0239,0.0856
1.0141,0.0229,0.0812
1.0165,0.02,0.0817
1.016,0.0234,0.0817
1.0072,0.0258,0.0822
1.0126,0.0244,0.0817
1.0116,0.0229,0.0851
1.0107,0.0239,0.0841
1.0092,0.0214,0.0841
1.0058,0.0224,0.0822
1.0068,0.0234,0.0831
1.0087,0.0244,0.0841
1.0087,0.0244,0.0851
1.0112,0.0268,0.0822
1.0077,0.0297,0.0822
1.0112,0.0244,0.0827
1.0107,0.0253,0.0807
1.0097,0.0253,0.0851
1.0092,0.0263,0.0831
1.0151,0.0268,0.0836
1.019,0.0278,0.0802
1.018,0.0244,0.0802
1.0155,0.0224,0.0836
1.0185,0.0234,0.0822
1.0204,0.0234,0.0831
1.0209,0.0204,0.0822
1.0204,0.0175,0.0856
1.0209,0.0209,0.0866
1.0209,0.019,0.0895
1.0209,0.02,0.0885
1.0209,0.0219,0.0861
1.0185,0.0214,0.0895
1.017,0.0214,0.09
1.0185,0.0234,0.089
1.0146,0.0195,0.0836
1.0112,0.0209,0.0841
1.0141,0.0234,0.0836
1.0116,0.0219,0.088
1.0112,0.0244,0.0831
1.0107,0.0253,0.0861
1.0048,0.0214,0.0875
1.0077,0.0229,0.0812
1.0097,0.0268,0.0885
1.0048,0.0195,0.0919
1.0068,0.0209,0.091
1.0077,0.0209,0.0914
1.0097,0.0214,0.0914
1.0092,0.0234,0.0953
1.0082,0.0229,0.091
1.0116,0.0248,0.0856
1.0116,0.0219,0.0924
1.0053,0.0234,0.089
1.0087,0.0244,0.0875
1.0087,0.0253,0.087
1.0097,0.0224,0.0866
1.0136,0.0244,0.0822
1.0126,0.0234,0.0807
1.0112,0.0244,0.0817
1.0126,0.0234,0.0778
1.0112,0.0224,0.0753
1.0092,0.0248,0.0729
1.0116,0.0209,0.07
1.0112,0.0258,0.067
1.0141,0.0283,0.069
1.018,0.0258,0.0685
1.0155,0.0278,0.069
1.0195,0.0239,0.0665
1.0185,0.0229,0.0656
1.0209,0.0268,0.0685
1.0199,0.0288,0.0724
1.0229,0.0273,0.0704
1.019,0.0239,0.0729
1.0214,0.0258,0.0753
1.0229,0.0263,0.0729
1.0243,0.0239,0.0714
1.0214,0.0292,0.0753
1.0185,0.0268,0.0768
1.0175,0.0263,0.0748
1.018,0.0234,0.0827
1.0151,0.0253,0.0841
1.0165,0.0273,0.0841
1.0165,0.0278,0.0885
1.0102,0.0288,0.0866
1.0058,0.0258,0.091
1.0033,0.0297,0.0953
1.0058,0.0283,0.0895
1.0077,0.0263,0.0949
1.0053,0.0273,0.0988
1.0048,0.0263,0.0978
1.0058,0.0253,0.0934
1.0048,0.0268,0.0939
1.0048,0.0278,0.0958
1.0043,0.0253,0.0973
0.9999,0.0297,0.0973
1.0082,0.0322,0.0963
1.0107,0.0268,0.0953
1.0092,0.0253,0.0939
1.0072,0.0268,0.0924
1.0107,0.0268,0.088
1.0136,0.0263,0.0929
1.0141,0.0234,0.09
1.016,0.0214,0.087
1.0131,0.0209,0.0836
1.0136,0.0248,0.0817
1.018,0.0204,0.0783
1.0185,0.0219,0.0783
1.0204,0.02,0.0748
1.0258,0.0239,0.0714
1.0229,0.0224,0.0719
1.0214,0.019,0.066
1.0234,0.0195,0.0709
1.0219,0.0239,0.067
1.0209,0.0219,0.069
1.0248,0.0234,0.066
1.0253,0.0248,0.067
1.0234,0.0219,0.067
1.0234,0.0224,0.0714
1.0258,0.0273,0.0685
1.0224,0.0258,0.0709
1.0204,0.0273,0.0729
1.0209,0.0268,0.0729
1.0199,0.0292,0.0763
1.017,0.0258,0.0763
1.0185,0.0283,0.0768
1.0131,0.0288,0.0792
1.0165,0.0263,0.0851
1.016,0.0283,0.0836
1.0131,0.0268,0.091
1.0043,0.0253,0.0914
1.0097,0.0239,0.0934
1.0116,0.0273,0.0958
1.0053,0.0244,0.0958
1.0019,0.0219,0.0988
1.0024,0.0239,0.0978
1.0024,0.0268,0.0958
1.0004,0.0268,0.0997
0.9999,0.0234,0.1052
0.9994,0.0258,0.1057
0.9994,0.0224,0.1007
1.0014,0.0209,0.1017
0.9999,0.0209,0.0978
0.997,0.0219,0.1017
0.9989,0.0263,0.0953
1.0019,0.0268,0.0949
1.0053,0.0244,0.091
1.0014,0.0248,0.0905
1.0058,0.0283,0.0885
1.0058,0.0244,0.0885
1.0082,0.0224,0.0851
1.0043,0.0204,0.0875
1.0092,0.0224,0.0836
1.0107,0.0253,0.0812
1.0107,0.0248,0.0836
1.0102,0.0273,0.0831
1.0107,0.0209,0.0812
1.016,0.0234,0.0807
1.0146,0.0263,0.0797
1.0155,0.0278,0.0827
1.017,0.0244,0.0836
1.017,0.0273,0.0822
1.0141,0.0263,0.0827
1.019,0.0253,0.0836
1.0214,0.0253,0.0787
1.019,0.0253,0.0851
1.0219,0.0292,0.0841
1.0204,0.0258,0.0817
1.017,0.0248,0.088
1.0195,0.0278,0.0846
1.0175,0.0268,0.0836
1.0141,0.0234,0.0851
1.0204,0.0253,0.0875
1.0199,0.0253,0.0866
1.017,0.0263,0.0861
1.018,0.0244,0.0856
1.018,0.0268,0.0812
1.0126,0.0263,0.0831
1.0146,0.0224,0.0827
1.0141,0.0234,0.0841
1.0136,0.0253,0.0822
1.0146,0.0253,0.0836
1.0102,0.0273,0.0836
1.0112,0.0268,0.0856
1.0165,0.0239,0.0822
1.0131,0.0239,0.0807
1.0116,0.0209,0.0822
1.0107,0.0258,0.0851
1.0136,0.0234,0.0812
1.0131,0.0263,0.0846
1.0092,0.0244,0.0836
1.0107,0.0234,0.0802
1.0146,0.0273,0.0846
1.0131,0.0263,0.087
1.0141,0.0253,0.0875
1.0146,0.0273,0.0866
1.016,0.0263,0.0866
1.0126,0.0288,0.0851
1.0155,0.0268,0.088
1.0126,0.0253,0.089
1.0107,0.0244,0.0846
1.0131,0.0302,0.0851
1.016,0.0297,0.089
1.0136,0.0307,0.0861
1.0107,0.0297,0.0831
1.0141,0.0248,0.0807
1.0151,0.0244,0.0856
1.0112,0.0253,0.0817
1.0102,0.0307,0.087
1.0102,0.0278,0.0836
1.0121,0.0263,0.0827
1.0107,0.0283,0.0861
1.0072,0.0273,0.09
1.0082,0.0258,0.091
1.0121,0.0253,0.09
1.0072,0.0234,0.0924
1.0019,0.0258,0.091
1.0068,0.0273,0.0914
1.0097,0.0244,0.0905
1.0097,0.0263,0.0934
1.0058,0.0234,0.091
1.0072,0.0224,0.0924
1.0121,0.0219,0.09
1.0146,0.0229,0.0885
1.0165,0.0195,0.0924
1.0175,0.0209,0.0895
1.0141,0.0204,0.087
1.016,0.0195,0.0934
1.0199,0.02,0.0914
1.0199,0.019,0.088
1.019,0.0185,0.0905
1.0199,0.0185,0.0905
1.0204,0.019,0.0973
1.0238,0.0214,0.09
1.0209,0.019,0.0861
1.019,0.0214,0.089
1.0195,0.0214,0.0831
1.0214,0.0219,0.0851
1.0209,0.0214,0.0817
1.018,0.018,0.0787
1.0126,0.0244,0.0827
1.0063,0.0244,0.0812
1.0077,0.0239,0.0827
1.0107,0.0278,0.0831
1.0072,0.0283,0.0831
1.0068,0.0278,0.0841
1.0102,0.0248,0.0836
1.0087,0.0268,0.0827
1.0112,0.0224,0.0861
1.0087,0.0239,0.089
1.0072,0.0268,0.0866
1.0053,0.0253,0.0895
1.0092,0.0258,0.087
1.0107,0.0273,0.0895
1.0092,0.0278,0.089
1.0087,0.0224,0.0919
1.0116,0.0234,0.0919
1.0092,0.0234,0.0939
1.0063,0.0219,0.091
1.0116,0.0244,0.0895
1.0102,0.0239,0.087
1.0107,0.0224,0.0885
1.0043,0.0229,0.0841
1.0068,0.0204,0.0822
1.0112,0.0224,0.0861
1.0097,0.0244,0.0831
1.0092,0.0224,0.0773
1.0141,0.019,0.0797
1.0141,0.0239,0.0763
1.0121,0.0229,0.0758
1.0165,0.019,0.0797
1.0199,0.0214,0.0758
1.019,0.0239,0.0739
1.0204,0.0204,0.0729
1.0234,0.0209,0.0758
1.0214,0.0204,0.0753
1.0204,0.0185,0.0748
1.0253,0.0229,0.0807
1.0268,0.0234,0.0797
1.0219,0.0214,0.0831
1.0248,0.0204,0.0812
1.017,0.0219,0.0817
1.0214,0.0185,0.0851
1.0195,0.018,0.0895
1.0155,0.0263,0.0856
1.017,0.0248,0.0856
1.0155,0.0234,0.0905
1.0107,0.0278,0.0875
1.0082,0.0248,0.089
1.0072,0.0204,0.0949
1.0097,0.0234,0.0934
1.0072,0.0239,0.0851
1.0072,0.0248,0.0924
1.0068,0.0268,0.091
1.0038,0.0244,0.0866
1.0043,0.0253,0.087
1.0043,0.0273,0.09
1.0033,0.0214,0.088
1.0063,0.0263,0.0885
1.0068,0.0248,0.0866
1.0048,0.0244,0.0831
1.0112,0.0244,0.0895
1.0102,0.0244,0.0836
1.0141,0.0234,0.0831
1.016,0.0229,0.0851
1.0155,0.0229,0.0846
1.0131,0.0185,0.0812
1.0151,0.0244,0.0812
1.0204,0.0214,0.0831
1.0224,0.0204,0.0797
1.0199,0.0224,0.0748
1.0219,0.0219,0.0787
1.0214,0.019,0.0778
1.0243,0.0185,0.0748
1.0219,0.0209,0.0768
1.0199,0.02,0.0778
1.0204,0.0214,0.0792
1.0199,0.0195,0.0763
1.0224,0.0175,0.0787
1.0209,0.0219,0.0783
1.019,0.0234,0.0792
1.0175,0.0239,0.0778
1.0204,0.0224,0.0817
1.016,0.0219,0.0812
1.0146,0.0224,0.0807
1.0199,0.0224,0.0827
1.0151,0.0234,0.087
1.0141,0.0268,0.087
1.0136,0.0273,0.0885
1.0151,0.0219,0.0861
1.0077,0.0244,0.0885
1.0063,0.0258,0.0875
1.0068,0.0263,0.088
1.0082,0.0273,0.0905
1.0092,0.0219,0.0905
1.0063,0.0239,0.089
1.0058,0.0234,0.09
1.0048,0.0258,0.0953
1.0024,0.0248,0.0885
1.0033,0.0253,0.0905
1.0048,0.0219,0.0919
1.0068,0.0268,0.09
1.0043,0.0244,0.0895
1.0077,0.0234,0.0866
1.0063,0.0253,0.0875
1.0038,0.0288,0.0861
1.0077,0.0292,0.0827
1.0063,0.0244,0.0812
1.0068,0.0248,0.0783
1.0097,0.0244,0.0753
1.0121,0.0224,0.0797
1.0121,0.0229,0.0783
1.0107,0.0273,0.0768
1.0097,0.0268,0.0743
1.0126,0.0219,0.0734
1.017,0.019,0.0739
1.016,0.0229,0.0748
1.0146,0.0253,0.0758
1.0136,0.0239,0.0797
1.0131,0.0214,0.0758
1.0165,0.0234,0.0778
1.0204,0.0268,0.0787
1.0185,0.0224,0.0797
1.0209,0.0229,0.0773
1.017,0.0209,0.0797
1.0195,0.0239,0.0812
1.0175,0.0209,0.0807
1.0175,0.0258,0.0783
1.0151,0.0273,0.0846
1.0131,0.0248,0.0836
1.0199,0.0224,0.0783
1.017,0.0214,0.0817
1.016,0.0209,0.0841
1.017,0.0244,0.0797
1.0199,0.0239,0.0802
1.0107,0.0204,0.0812
1.0136,0.0195,0.0817
1.0151,0.0175,0.0768
1.0155,0.0229,0.0797
1.0175,0.0224,0.0792
1.0126,0.02,0.0792
1.0126,0.0219,0.0734
1.0126,0.0234,0.0787
1.0131,0.0204,0.0792
1.0136,0.0209,0.0797
1.0121,0.0214,0.0768
1.0136,0.0229,0.0734
1.0151,0.0229,0.0748
1.0121,0.0258,0.0778
1.0141,0.0268,0.0783
1.0141,0.0229,0.0763
1.0107,0.0253,0.0714
1.0126,0.0268,0.0729
1.017,0.0244,0.0739
1.0151,0.0258,0.0748
1.0136,0.0229,0.0787
1.0121,0.0244,0.0748
1.0141,0.0248,0.0714
1.0175,0.0278,0.0763
1.018,0.0268,0.0792
1.016,0.0244,0.0748
1.0175,0.0278,0.0768
1.0175,0.0263,0.0792
1.0151,0.0263,0.0773
1.0102,0.0253,0.0836
1.016,0.0263,0.0787
1.016,0.0229,0.0812
1.0146,0.0248,0.0802
1.0102,0.0268,0.0856
1.0116,0.0268,0.0836
1.0102,0.0258,0.0822
1.0097,0.0297,0.0851
1.0121,0.0248,0.087
1.0097,0.0234,0.0856
1.0092,0.0253,0.0851
1.0077,0.0273,0.089
1.0097,0.0239,0.0875
1.0097,0.0239,0.088
1.0072,0.0234,0.0846
1.0068,0.0273,0.0914
1.0116,0.0244,0.0914
1.0131,0.0244,0.0919
1.0136,0.0244,0.09
1.0131,0.0253,0.087
1.0131,0.0224,0.0861
1.0107,0.0244,0.088
1.0131,0.0244,0.087
1.0136,0.0224,0.0846
1.0155,0.0204,0.0827
1.0175,0.0204,0.0846
1.0155,0.0175,0.0831
1.018,0.017,0.0866
1.0214,0.0141,0.0778
1.0204,0.019,0.0812
1.0214,0.0195,0.0831
1.016,0.0161,0.0817
1.0151,0.0175,0.0846
1.017,0.0224,0.0851
1.019,0.02,0.0812
1.0199,0.0219,0.0778
1.0199,0.0219,0.0792
1.0175,0.0204,0.0748
1.0185,0.0214,0.0734
1.0151,0.0258,0.0714
1.0116,0.0263,0.0734
1.0155,0.0283,0.0734
1.0107,0.0248,0.0719
1.0072,0.0263,0.0763
1.0097,0.0273,0.0812
1.0097,0.0283,0.0792
1.0112,0.0244,0.0792
1.0126,0.0258,0.0827
1.0087,0.0273,0.0817
1.0082,0.0278,0.0807
1.0136,0.0253,0.0846
1.0077,0.0258,0.0861
1.0082,0.0244,0.0875
1.0107,0.0229,0.087
1.0102,0.0224,0.0895
1.0087,0.0204,0.0905
1.0141,0.0214,0.0929
1.0121,0.0195,0.09
1.0116,0.018,0.089
1.0092,0.02,0.0851
1.0121,0.0195,0.0851
1.0087,0.0229,0.0836
1.0072,0.0239,0.087
1.0077,0.0185,0.0841
1.0112,0.02,0.0739
1.0087,0.0214,0.0792
1.0072,0.0209,0.0763
1.0058,0.0219,0.0778
1.0107,0.0224,0.0724
1.0126,0.0214,0.069
1.0209,0.0253,0.069
1.0175,0.0229,0.068
1.0141,0.019,0.069
1.0214,0.0209,0.0675
1.0263,0.02,0.0646
1.0287,0.0229,0.066
1.0282,0.0244,0.0656
1.0234,0.02,0.0646
1.0214,0.017,0.0665
1.0258,0.0229,0.066
1.0278,0.0239,0.0729
1.0263,0.0224,0.0724
1.0234,0.0219,0.069
1.0214,0.0244,0.0729
1.0199,0.0239,0.0768
1.0204,0.019,0.0778
1.0165,0.0234,0.0787
1.0146,0.0239,0.0787
1.0116,0.0224,0.0787
1.0136,0.0224,0.0846
1.0126,0.0244,0.091
1.0068,0.0204,0.088
1.0097,0.0239,0.0885
1.0068,0.0224,0.087
1.0063,0.0253,0.089
1.0068,0.0234,0.09
1.0102,0.0248,0.091
1.0087,0.0219,0.09
1.0097,0.0239,0.0939
1.0126,0.0229,0.0929
1.0058,0.0219,0.088
1.0033,0.0214,0.0885
1.0112,0.0185,0.09
1.0107,0.0244,0.087
1.0092,0.0204,0.087
1.0092,0.018,0.0885
1.0112,0.02,0.0861
1.0131,0.0204,0.0827
1.0141,0.018,0.0831
1.0146,0.018,0.0831
1.0175,0.0146,0.0831
1.016,0.02,0.0807
1.0165,0.0209,0.0797
1.019,0.0209,0.0797
1.017,0.0185,0.0797
1.0165,0.0195,0.0787
1.0165,0.017,0.0817
1.0219,0.02,0.0758
1.016,0.0229,0.0734
1.0175,0.019,0.0768
1.0199,0.02,0.0792
1.0209,0.0214,0.0748
1.019,0.0224,0.0748
1.017,0.0229,0.0753
1.0195,0.0229,0.0753
1.0151,0.0219,0.0739
1.0185,0.0219,0.0739
1.0209,0.0239,0.0753
1.016,0.0234,0.0773
1.0165,0.0204,0.0768
1.0141,0.0195,0.0792
1.0136,0.0185,0.0817
1.0112,0.019,0.0778
1.0155,0.0214,0.0792
1.0141,0.0234,0.0812
1.0112,0.02,0.0836
1.0072,0.0175,0.0841
1.0082,0.0204,0.0807
1.0116,0.017,0.0827
1.0068,0.019,0.0861
1.0092,0.0209,0.0846
1.0077,0.0185,0.0841
1.0087,0.0209,0.0841
1.0063,0.0195,0.0827
1.0102,0.0258,0.0822
1.0116,0.0204,0.0792
1.0092,0.0161,0.0768
1.0131,0.0165,0.0783
1.0121,0.0185,0.0778
1.0112,0.0224,0.0778
1.0136,0.0219,0.0768
1.0112,0.0239,0.0724
1.0112,0.0248,0.0719
1.017,0.0204,0.0743
1.0165,0.0195,0.0797
1.0146,0.0204,0.0724
1.0141,0.0229,0.0778
1.0126,0.0234,0.0763
1.0165,0.0244,0.0739
1.0199,0.0224,0.0748
1.016,0.0214,0.0763
1.0175,0.0185,0.0763
1.0151,0.0209,0.0763
1.0185,0.0219,0.0783
1.017,0.0209,0.0783
1.0195,0.0204,0.0822
1.0209,0.0204,0.0817
1.017,0.017,0.0778
1.018,0.0224,0.0787
1.0175,0.0219,0.0787
1.0146,0.02,0.0807
1.0136,0.0273,0.0792
1.0092,0.0258,0.0841
1.0116,0.0204,0.0836
1.0092,0.0204,0.0827
1.0121,0.019,0.0841
1.0112,0.0244,0.0797
1.0107,0.0214,0.0812
1.0121,0.0195,0.0773
1.0136,0.0209,0.0792
1.0112,0.0253,0.0792
1.0092,0.0239,0.0797
1.0087,0.0214,0.0753
1.0146,0.018,0.0817
1.0102,0.0185,0.0783
1.0048,0.0224,0.0758
1.0121,0.0185,0.0773
1.0121,0.0253,0.0787
1.0121,0.0185,0.0797
1.0116,0.0195,0.0802
1.0121,0.019,0.0797
1.0151,0.0165,0.0778
1.0136,0.0219,0.0817
1.0146,0.02,0.0787
1.0121,0.0195,0.0743
1.0175,0.0195,0.0743
1.0155,0.018,0.0753
1.016,0.0229,0.0753
1.0209,0.0239,0.0792
1.0146,0.0253,0.0753
1.0146,0.0209,0.0719
1.0155,0.0219,0.0778
1.0165,0.0239,0.0709
1.018,0.0219,0.0729
1.0165,0.0234,0.0729
1.0175,0.0234,0.0763
1.0126,0.0185,0.0743
1.0155,0.0224,0.0734
1.0146,0.0244,0.0753
1.0141,0.0258,0.0743
1.0097,0.0244,0.0787
1.0077,0.0263,0.0802
1.0082,0.0248,0.0787
1.0121,0.0248,0.0773
1.0087,0.0253,0.0797
1.0121,0.0229,0.0773
1.0146,0.0204,0.0778
1.0116,0.0244,0.0792
1.0092,0.0239,0.0802
1.0112,0.0244,0.0802
1.0092,0.0234,0.0817
1.0126,0.0239,0.0787
1.0121,0.0268,0.0783
1.0141,0.0248,0.0773
1.0116,0.0234,0.0768
1.0126,0.0224,0.0797
1.0136,0.0229,0.0817
1.0112,0.0204,0.0778
1.0141,0.0195,0.0792
1.0136,0.0214,0.0812
1.018,0.0195,0.0797
1.0199,0.017,0.0841
1.0214,0.0185,0.0822
1.0209,0.0204,0.0797
1.0209,0.0195,0.0817
1.0199,0.0239,0.0792
1.0175,0.0229,0.0797
1.0136,0.0234,0.0792
1.0151,0.0229,0.0753
1.016,0.0224,0.0748
1.0121,0.0244,0.0768
1.0097,0.0244,0.0768
1.0097,0.0224,0.0734
1.0116,0.0248,0.0724
1.0043,0.0214,0.0812
1.0087,0.0219,0.0802
1.0112,0.0244,0.0797
1.0077,0.0219,0.0783
1.0107,0.0263,0.0822
1.0116,0.0273,0.0841
1.0126,0.0214,0.0851
1.0116,0.0214,0.0851
1.016,0.0253,0.0827
1.0126,0.0253,0.0807
1.0126,0.0283,0.0812
1.0112,0.0224,0.0822
1.0116,0.0234,0.0822
1.016,0.0219,0.0822
1.0165,0.0214,0.0817
1.0141,0.0175,0.0831
1.0136,0.0229,0.0817
1.016,0.0258,0.0783
1.0107,0.0229,0.0743
1.0068,0.0214,0.0748
1.0082,0.02,0.0734
1.0102,0.018,0.0704
1.0082,0.0195,0.0665
1.0053,0.0224,0.0631
1.0058,0.0209,0.0597
1.0121,0.0204,0.0607
1.0107,0.0209,0.0636
1.0102,0.0175,0.0626
1.0185,0.017,0.0651
1.0224,0.0204,0.0646
1.0199,0.0229,0.066
1.0199,0.0258,0.0656
1.0214,0.0239,0.066
1.0253,0.0239,0.0685
1.0248,0.0185,0.069
1.0292,0.0161,0.0714
1.0268,0.0209,0.0729
1.0253,0.0214,0.0773
1.0253,0.0209,0.0812
1.0253,0.0195,0.0802
1.0219,0.019,0.0846
1.018,0.0219,0.0875
1.0214,0.0244,0.089
1.0209,0.0224,0.09
1.0141,0.0234,0.09
1.0131,0.0224,0.091
1.0141,0.0214,0.091
1.0112,0.0209,0.0939
1.0092,0.0219,0.0939
1.0087,0.0195,0.09
1.0102,0.0239,0.0934
1.0082,0.0239,0.0905
1.0068,0.0234,0.089
1.0053,0.0219,0.0827
1.0043,0.0229,0.0817
1.0058,0.0204,0.0797
1.0038,0.02,0.0792
1.0082,0.0209,0.0792
1.0053,0.0204,0.0734
1.0028,0.0151,0.07
1.0038,0.0219,0.0626
1.0058,0.0214,0.0646
1.0092,0.0175,0.0656
1.0102,0.0204,0.0597
1.0141,0.0224,0.0529
1.017,0.02,0.0494
1.0116,0.0219,0.047
1.0209,0.0165,0.047
1.0229,0.0214,0.046
1.0248,0.0214,0.049
1.0238,0.0156,0.0485
1.0248,0.0185,0.0514
1.0258,0.0156,0.0543
1.0287,0.0175,0.0514
1.0248,0.018,0.0519
1.0282,0.0151,0.0573
1.0282,0.0156,0.0582
1.0307,0.0165,0.0597
1.0302,0.0204,0.0631
1.0292,0.018,0.066
1.0263,0.0175,0.068
1.0273,0.018,0.0704
1.0263,0.0195,0.0709
1.0209,0.0214,0.0724
1.0209,0.0214,0.0704
1.0204,0.0239,0.0768
1.017,0.0229,0.0739
1.0121,0.0219,0.0763
1.0107,0.0214,0.0743
1.0092,0.0219,0.0778
1.0063,0.0253,0.0783
1.0077,0.0273,0.0778
1.0048,0.0253,0.0773
1.0077,0.0248,0.0792
1.0043,0.0224,0.0822
1.0038,0.0219,0.0797
1.0053,0.0244,0.0768
1.0058,0.0224,0.0807
1.0028,0.0224,0.0846
1.0048,0.0224,0.0778
1.0068,0.02,0.0797
1.0102,0.0195,0.0802
1.0063,0.018,0.0787
1.0126,0.0229,0.0748
1.0121,0.0229,0.0753
1.0116,0.0229,0.0758
1.0141,0.0185,0.0724
1.0097,0.0204,0.0724
1.0112,0.0224,0.0729
1.0141,0.0214,0.0695
1.0146,0.0204,0.0665
1.0175,0.0239,0.0695
1.0155,0.0209,0.0665
1.0165,0.0209,0.0709
1.0116,0.0195,0.069
1.0121,0.0185,0.0675
1.0097,0.0185,0.0685
1.0131,0.0219,0.0656
1.0185,0.019,0.07
1.016,0.019,0.068
1.0175,0.0209,0.0685
1.0195,0.0195,0.0704
1.0155,0.0209,0.0651
1.0136,0.02,0.0656
1.0146,0.0239,0.0665
1.0151,0.0214,0.068
1.019,0.019,0.066
1.0141,0.018,0.068
1.0165,0.019,0.0656
1.019,0.0195,0.068
1.018,0.02,0.068
1.016,0.0195,0.0636
1.019,0.0204,0.0621
1.0185,0.0224,0.066
1.0185,0.0185,0.068
1.019,0.0185,0.0631
1.0214,0.0214,0.0573
1.018,0.0234,0.0641
1.0185,0.0224,0.0612
1.018,0.02,0.0597
1.0214,0.018,0.0641
1.019,0.0204,0.0656
1.0141,0.0185,0.067
1.0151,0.0214,0.066
1.017,0.0204,0.07
1.0185,0.02,0.0719
1.018,0.018,0.0714
1.0136,0.0185,0.0665
1.0146,0.0224,0.0685
1.018,0.0214,0.0719
1.0131,0.0195,0.0753
1.0136,0.019,0.0695
1.017,0.018,0.0748
1.0146,0.0195,0.0758
1.0136,0.0234,0.0739
1.0155,0.0229,0.0778
1.016,0.0209,0.0778
1.0175,0.0229,0.0753
1.0107,0.02,0.0704
1.0175,0.0244,0.0709
1.017,0.0234,0.0724
1.0165,0.0248,0.0695
1.016,0.0263,0.0719
1.0195,0.0239,0.0695
1.0199,0.0239,0.0675
1.019,0.0248,0.0695
1.0136,0.0288,0.0719
1.0146,0.0288,0.069
1.0209,0.0248,0.069
1.0155,0.0239,0.068
1.018,0.0268,0.069
1.0175,0.0258,0.069
1.0141,0.0239,0.0714
1.0126,0.0224,0.0719
1.0141,0.0268,0.069
1.016,0.0214,0.0734
1.0141,0.0195,0.07
1.0126,0.0224,0.0704
1.0107,0.0248,0.0695
1.0136,0.0219,0.0743
1.0092,0.018,0.0719
1.0126,0.0214,0.07
1.0136,0.017,0.0758
1.0155,0.0224,0.0773
1.0195,0.0209,0.0719
1.018,0.0185,0.0734
1.0136,0.0161,0.0714
1.017,0.018,0.0783
1.0185,0.0165,0.0753
1.0141,0.0175,0.0753
1.0175,0.0165,0.0768
1.0185,0.0165,0.0768
1.0165,0.0185,0.0768
1.0151,0.0161,0.0743
1.0146,0.0146,0.0763
1.0146,0.017,0.0753
1.0146,0.0165,0.0778
1.0136,0.019,0.0773
1.0136,0.0185,0.0768
1.0116,0.0156,0.0778
1.0063,0.0165,0.0734
1.0063,0.0175,0.0787
1.0102,0.018,0.0773
1.0072,0.0204,0.0802
1.0087,0.0185,0.0802
1.0068,0.0204,0.0797
1.0048,0.0165,0.0802
1.0087,0.019,0.0822
1.0097,0.0185,0.0802
1.0077,0.0175,0.0812
1.0087,0.019,0.0817
1.0146,0.0229,0.0797
1.0131,0.019,0.0787
1.0146,0.017,0.0739
1.0131,0.019,0.0768
1.0102,0.0219,0.0783
1.0141,0.0209,0.0783
1.018,0.0195,0.0773
1.0146,0.018,0.0758
1.0146,0.0195,0.0748
1.0141,0.0214,0.0719
1.0131,0.0244,0.0719
1.0116,0.0204,0.0685
1.0141,0.0209,0.07
1.016,0.018,0.0656
1.0155,0.0165,0.0651
1.0126,0.0195,0.0656
1.0136,0.0214,0.0602
1.0116,0.0195,0.0607
1.0141,0.0175,0.0626
1.0155,0.0224,0.0612
1.0146,0.0258,0.0592
1.019,0.0234,0.0602
1.0219,0.0234,0.0597
1.0238,0.0214,0.0612
1.0268,0.0224,0.0582
1.0258,0.0224,0.0577
1.0253,0.0204,0.0617
1.0263,0.019,0.0641
1.0248,0.02,0.067
1.0253,0.0229,0.0675
1.0229,0.0248,0.0665
1.0238,0.0229,0.07
1.0238,0.0239,0.0719
1.0199,0.02,0.0719
1.0214,0.0244,0.0758
1.018,0.0248,0.0783
1.0155,0.0253,0.0802
1.0136,0.0229,0.0817
1.0102,0.0244,0.0817
1.0082,0.0258,0.0846
1.0097,0.0248,0.0797
